# alpha,l2_mean,l2_std,l1_mean,l1_std,hub_mean,hub_std
1.26E-01,9.82E-01,4.31E-02,9.85E-01,5.39E-02,9.69E-01,3.20E-02
1.79E-01,9.59E-01,2.11E-02,9.51E-01,5.39E-02,9.54E-01,2.86E-02
2.54E-01,9.66E-01,3.90E-02,9.56E-01,6.71E-02,9.53E-01,3.85E-02
3.59E-01,9.54E-01,4.17E-02,9.29E-01,3.81E-02,9.38E-01,2.89E-02
5.09E-01,9.30E-01,3.51E-02,9.09E-01,7.20E-02,8.85E-01,2.33E-02
7.22E-01,9.14E-01,3.47E-02,8.84E-01,5.05E-02,8.54E-01,2.97E-02
1.02E+00,8.50E-01,2.70E-02,8.28E-01,5.12E-02,8.21E-01,2.98E-02
1.45E+00,8.02E-01,3.29E-02,8.05E-01,5.22E-02,7.38E-01,3.18E-02
2.06E+00,7.35E-01,3.76E-02,7.07E-01,2.79E-02,6.73E-01,2.45E-02
2.92E+00,6.63E-01,2.56E-02,6.18E-01,3.35E-02,5.79E-01,2.44E-02
4.13E+00,5.59E-01,3.23E-02,5.01E-01,3.53E-02,4.72E-01,2.37E-02
5.86E+00,4.90E-01,2.61E-02,4.23E-01,1.53E-02,3.65E-01,1.66E-02
8.30E+00,3.99E-01,1.51E-02,3.19E-01,2.25E-02,2.87E-01,8.22E-03
1.18E+01,3.13E-01,1.46E-02,2.39E-01,1.56E-02,2.16E-01,8.57E-03
1.67E+01,2.48E-01,7.73E-03,1.85E-01,1.33E-02,1.55E-01,8.59E-03
2.36E+01,1.89E-01,7.68E-03,1.31E-01,1.16E-02,1.09E-01,7.58E-03
3.35E+01,1.61E-01,9.30E-03,9.51E-02,2.71E-03,8.93E-02,4.26E-03
4.75E+01,1.40E-01,8.91E-03,7.78E-02,5.75E-03,6.92E-02,3.34E-03
6.73E+01,1.26E-01,6.84E-03,5.85E-02,3.77E-03,5.64E-02,3.29E-03
9.55E+01,1.15E-01,6.63E-03,4.87E-02,3.84E-03,4.67E-02,1.74E-03
1.35E+02,1.09E-01,5.21E-03,4.25E-02,5.42E-03,3.94E-02,1.68E-03
1.92E+02,1.05E-01,3.60E-03,3.46E-02,8.57E-03,3.61E-02,1.53E-03
2.72E+02,9.86E-02,5.70E-03,2.99E-02,5.87E-03,3.25E-02,1.34E-03
3.85E+02,9.95E-02,5.08E-03,,,2.93E-02,1.29E-03
5.46E+02,9.48E-02,4.31E-03,,,2.80E-02,1.18E-03
7.74E+02,9.37E-02,5.34E-03,,,2.67E-02,7.92E-04
