# # epsilons, delta_larges
1.000000000000000021e-03,1.000000000000000056e-01
1.069839563333635545e-03,1.084232539313426807e-01
1.144556691273904137e-03,1.175560199306041886e-01
1.224492030803064511e-03,1.274580620009387877e-01
1.310010019539867244e-03,1.381941782192460666e-01
1.401500547267219140e-03,1.498346247689854305e-01
1.499380733500213069e-03,1.624555756903515447e-01
1.604096829198734366e-03,1.761396213563745095e-01
1.716126251294845069e-03,1.909763089369274081e-01
1.835979759310666162e-03,2.070627283873902880e-01
1.964203783990316546e-03,2.245041477966266130e-01
2.101382918562474944e-03,2.434147022519333459e-01
2.248142583991639184e-03,2.639181407288354042e-01
2.405151880369366720e-03,2.861486358933035823e-01
2.573126637445436078e-03,3.102516621156697352e-01
2.752832678206771320e-03,3.363849474418839636e-01
2.945089310383295148e-03,3.647195057517274575e-01
3.150773061799022438e-03,3.954407558583333815e-01
3.370821676598448249e-03,4.287497348723017798e-01
3.606238390567637585e-03,4.648644137705542079e-01
3.858096505041878205e-03,5.040211237788956300e-01
4.127544280253028601e-03,5.464761029023990080e-01
4.415810170426146333e-03,5.925071727239735742e-01
4.724208424492935300e-03,6.424155564439332222e-01
5.054145077956605052e-03,6.965278500576537191e-01
5.407124363225938174e-03,7.551981595705317130e-01
5.784755567644300420e-03,8.188104182359842165e-01
6.188760370480395241e-03,8.877808989802902229e-01
6.620980692331255961e-03,9.625609384553568404e-01
7.083387092724102718e-03,1.043639890545366988e+00
7.578087754203065296e-03,1.131548328654790270e+00
8.107338093860579423e-03,1.226861517733246920e+00
8.673551046133952391e-03,1.330203178757843441e+00
9.279308063747946159e-03,1.442249570307408968e+00
9.927370886958386542e-03,1.563733913938100351e+00
1.062069413475461195e-02,1.695451192319630485e+00
1.136243877542597938e-02,1.838263351530690537e+00
1.215598653790690015e-02,1.993104941556930632e+00
1.300495532960387231e-02,2.160989231902410435e+00
1.391321573099684426e-02,2.343014842334522729e+00
1.488490864221634138e-02,2.540372932153408314e+00
1.592446416204978954e-02,2.754354995031785158e+00
1.703662178544947808e-02,2.986361310433934158e+00
1.822645201162557266e-02,3.237910106919157815e+00
1.949937946123896787e-02,3.510647497293566843e+00
2.086120760808875957e-02,3.806358250624931383e+00
2.231814523804999742e-02,4.126977471611683157e+00
2.387683475589208112e-02,4.474603263734840297e+00
2.554438246903295920e-02,4.851510459059373837e+00
2.732839098629760016e-02,5.260165504531594927e+00
2.923699387939148950e-02,5.703242602187182264e+00
3.127889276511636868e-02,6.183641208889926411e+00
3.346339697739170865e-02,6.704505010117874697e+00
3.580046600995284711e-02,7.269242491959692742e+00
3.830075492322864567e-02,7.881549245942522042e+00
4.097566292241552888e-02,8.545432152652086444e+00
4.383738532822327449e-02,9.265235602400572645e+00
4.689896917723471170e-02,1.004566992452794238e+01
5.017437270537042360e-02,1.089184221137545450e+01
5.367852898565257658e-02,1.180928973864078202e+01
5.742741401040245969e-02,1.280401620081449110e+01
6.143811952826890715e-02,1.388253099881934105e+01
6.572893096816291580e-02,1.505189183694726118e+01
7.031941080536610600e-02,1.631975090784437299e+01
7.523048774989141152e-02,1.769440496777470884e+01
8.048455216372024656e-02,1.918484962985049336e+01
8.610555814193769641e-02,2.080083823051906222e+01
9.211913272316960000e-02,2.255294565452349431e+01
9.855269272722903817e-02,2.445263753600170276e+01
1.054355697526526831e-01,2.651234528856994643e+01
1.127991439040110372e-01,2.874554745538056721e+01
1.206769868586750893e-01,3.116685791150189289e+01
1.291050149253038515e-01,3.379212149580847324e+01
1.381216527918695813e-01,3.663851769818825943e+01
1.477680087097738015e-01,3.972467308058655533e+01
1.580880619127452702e-01,4.307078316756010139e+01
1.691288631249921459e-01,4.669874460398170157e+01
1.809407490727558410e-01,5.063229844472427743e+01
1.935775719772580283e-01,5.489718551399868574e+01
2.070969450753353813e-01,5.952131485100307628e+01
2.215605052871267300e-01,6.453494634417705811e+01
2.370341942283593351e-01,6.997088874920278556e+01
2.535885588484081410e-01,7.586471438656543853e+01
2.712990730647868998e-01,8.225499192363373879e+01
2.902464818604517660e-01,8.918353876456683338e+01
3.105171694127096815e-01,9.669569469966376118e+01
3.322035529320899183e-01,1.048406186048923274e+02
3.554045040067493888e-01,1.136716101331728055e+02
3.802257993733881292e-01,1.232464585025358446e+02
4.067806031698080749e-01,1.336278206635913364e+02
4.351899828677804338e-01,1.448836313210048843e+02
4.655834612384385784e-01,1.570875474921234911e+02
4.980996068666938004e-01,1.703194305119036187e+02
5.328866659069197986e-01,1.846658686383378551e+02
5.701032379601761457e-01,2.002207436782648244e+02
6.099189991544066158e-01,2.170858453415078486e+02
6.525154757242384029e-01,2.353715373436249649e+02
6.980868716172587973e-01,2.551974796161836139e+02
7.468409538999518649e-01,2.766934113506412700e+02
7.990000000000000435e-01,3.000000000000001137e+02
