# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000021e-02,9.955418155436168703e-02,9.779355620573531027e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955418155435835637e-02,9.779358261949512299e-01,1.085409348489598003e+01,0.000000000000000000e+00
1.061721247884737755e-02,9.955434591413347967e-02,9.779375205885355582e-01,4.792436764660091479e-322,0.000000000000000000e+00,9.955434591413081513e-02,9.779375569412865898e-01,1.021211840218149902e+01,0.000000000000000000e+00
1.127252008209924869e-02,9.955452042447965333e-02,9.779395490714677397e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955452042447610062e-02,9.779396295274846995e-01,1.085065607399276111e+01,0.000000000000000000e+00
1.196827408837218207e-02,9.955470569890301213e-02,9.779414143466874654e-01,4.792436764660091479e-322,0.000000000000000000e+00,9.955470569889768306e-02,9.779414846021137198e-01,1.137670687601643493e+01,0.000000000000000000e+00
1.270697090013309105e-02,9.955490241361886206e-02,9.779438392104855549e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955490241361508730e-02,9.779439531254460194e-01,1.122988770938952996e+01,0.000000000000000000e+00
1.349126100092435526e-02,9.955511126633220798e-02,9.779460717223962263e-01,9.881312916824930884e-324,0.000000000000000000e+00,9.955511126632998753e-02,9.779462424706333312e-01,1.079248434898194375e+01,0.000000000000000000e+00
1.432395846544010434e-02,9.955533301277319502e-02,9.779485898624191709e-01,4.940656458412465442e-324,0.000000000000000000e+00,9.955533301276875413e-02,9.779488538758063232e-01,1.151196691077109335e+01,0.000000000000000000e+00
1.520805105657622135e-02,9.955556844535617955e-02,9.779513878037828789e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955556844535284888e-02,9.779515235785612992e-01,1.076354918951993866e+01,0.000000000000000000e+00
1.614671094568291207e-02,9.955581840783667147e-02,9.779541857531517390e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955581840783334080e-02,9.779543214920289884e-01,1.037451287213262674e+01,0.000000000000000000e+00
1.714330609448461509e-02,9.955608379679148356e-02,9.779573567727182226e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955608379678770881e-02,9.779572828466471801e-01,1.051101700297382990e+01,0.000000000000000000e+00
1.820141233950624618e-02,9.955636556898861400e-02,9.779603412708299803e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955636556898506129e-02,9.779603489521533355e-01,1.061047355959377825e+01,0.000000000000000000e+00
1.932482622236523714e-02,9.955666472914415088e-02,9.779637454758385307e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955666472914193044e-02,9.779636974177570163e-01,1.049352420599417002e+01,0.000000000000000000e+00
2.051757861196532029e-02,9.955698235640531024e-02,9.779672079842876009e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955698235640109139e-02,9.779673814341341975e-01,1.059281186560126997e+01,0.000000000000000000e+00
2.178394916746902860e-02,9.955731958912772406e-02,9.779711251812536199e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955731958912439339e-02,9.779709255641847454e-01,1.100549802242058384e+01,0.000000000000000000e+00
2.312848169394291289e-02,9.955767762942535626e-02,9.779750423939097548e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955767762942202559e-02,9.779752158453069999e-01,1.054416772137537706e+01,0.000000000000000000e+00
2.455600044577238225e-02,9.955805777069937079e-02,9.779794376195297678e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955805777069715035e-02,9.779790806110670864e-01,1.062298885389443015e+01,0.000000000000000000e+00
2.607162743634363136e-02,9.955846137829560405e-02,9.779839494501986197e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955846137829205134e-02,9.779841170740721790e-01,1.082594749344063700e+01,0.000000000000000000e+00
