# # epsilons, delta_larges
1.000000000000000021e-03,1.000000000000000056e-01
1.143011380754001662e-03,1.177502013025367306e-01
1.306475016533169232e-03,1.386510990678792854e-01
1.493315812568184880e-03,1.632619482606075256e-01
1.706876968825346737e-03,1.922412727273087318e-01
1.950979800914264418e-03,2.263644856229646840e-01
2.229992116066180623e-03,2.665446374984928313e-01
2.548906367655342890e-03,3.138568472155922051e-01
2.913428986706400638e-03,3.695670693981549793e-01
3.330082488824014520e-03,4.351659681642131017e-01
3.806322183575462995e-03,5.124088035134939378e-01
4.350669574643172173e-03,6.033623976290592994e-01
4.972864837717322177e-03,7.104604377920293867e-01
5.684041104462300709e-03,8.365685956749984165e-01
6.496923671073955020e-03,9.850612054411155283e-01
7.426057695927598332e-03,1.159911552360108677e+00
8.488068460581083344e-03,1.365798187835406852e+00
9.701958851063287662e-03,1.608230115562590434e+00
1.108944938237235028e-02,1.893694198482969382e+00
1.267536685034702931e-02,2.229828730768157019e+00
1.448808856517866742e-02,2.625627819181304723e+00
1.656005011537112909e-02,3.091682042541391784e+00
1.892832574772581808e-02,3.640461828726869964e+00
2.163529174826961041e-02,4.286651131667899683e+00
2.472938469420531485e-02,5.047540336676420658e+00
2.826596814452049175e-02,5.943488907263225762e+00
3.230832327721699232e-02,6.998470152696389945e+00
3.692878119893846373e-02,8.240712692897952607e+00
4.221001718776107303e-02,9.703455784651035643e+00
4.824653002743291980e-02,1.142583871972924037e+01
5.514633290324550546e-02,1.345394809298437266e+01
6.303288611525850738e-02,1.584205096262789247e+01
7.204730619151136772e-02,1.865404689894481294e+01
8.235089092956573986e-02,2.196517777457713905e+01
9.412800554772517148e-02,2.586404104602462795e+01
1.075893815887256633e-01,3.045496039666474175e+01
1.229758876041984889e-01,3.586077717368055318e+01
1.405628390899238134e-01,4.222613731066302023e+01
1.606649247908763789e-01,4.972136168559130454e+01
1.836418375239574352e-01,5.854700347514609859e+01
2.099047102724608538e-01,6.893921444858774805e+01
2.399234727152941282e-01,8.117606378959960978e+01
2.742352598236033612e-01,9.558497852172911280e+01
3.134540229824092639e-01,1.125515046243225896e+02
3.582815156120202071e-01,1.325296232641738641e+02
4.095198498583316193e-01,1.560538981790581943e+02
4.680858490327430288e-01,1.837537792462968298e+02
5.350274526143252718e-01,2.163704449635334015e+02
6.115424673539961997e-01,2.547766345037551616e+02
6.989999999999999547e-01,3.000000000000001137e+02
