# # alphas_L2,errors_L2,lambdas_L2,errors_L1,lambdas_L1,errors_Huber,lambdas_Huber,huber_params,errors_BO
1.000000000000000472e-01,9.833465323814527537e-01,3.134192276377775421e+00,9.823564979649588302e-01,2.024601429462064228e+00,9.798299592897241617e-01,1.683550142969321373e+00,1.107934828611691902e+00,9.792943230323682968e-01
1.047322228818895473e-01,9.825703452151476336e-01,3.133763205617741132e+00,9.815307348497864792e-01,2.023956731874767101e+00,9.788872544668119069e-01,1.682522755088269539e+00,1.107626285104139185e+00,9.783249162011309341e-01
1.096883850978178226e-01,9.817585636809508243e-01,3.133312381563917448e+00,9.806667789922054457e-01,2.023281356450874924e+00,9.779010742780032128e-01,1.681447615300373899e+00,1.107303857312329498e+00,9.773106457190495755e-01
1.148790839561917992e-01,9.809096111919496375e-01,3.132838272700334326e+00,9.797629081062919632e-01,2.022573982883985266e+00,9.768694704329455858e-01,1.680322481715449623e+00,1.106966755812003989e+00,9.762494864766934066e-01
1.203154182536717437e-01,9.800218466636733128e-01,3.132339325564846177e+00,9.788173265582702509e-01,2.021833384585653093e+00,9.757904128676634370e-01,1.679145659225838028e+00,1.106615015142229819e+00,9.751393270175093830e-01
1.260090120067130504e-01,9.790935623925908216e-01,3.131814618340443168e+00,9.778281626722044040e-01,2.021057585156437852e+00,9.746617868634390724e-01,1.677914185967720240e+00,1.106247347584028207e+00,9.739779663694734246e-01
1.319720393061375729e-01,9.781229819173385964e-01,3.131262222411428375e+00,9.767934659814008214e-01,2.020245365854846487e+00,9.734813901219330212e-01,1.676625865417796124e+00,1.105863376363250161e+00,9.727631108152239303e-01
1.382172503478787950e-01,9.771082578689112008e-01,3.130681107043080225e+00,9.757112044297340248e-01,2.019394650845830697e+00,9.722469298029641216e-01,1.675277843496689512e+00,1.105462172090161399e+00,9.714923706070441867e-01
1.447579986955596087e-01,9.760474698168858376e-01,3.130069086079954932e+00,9.745792615279138538e-01,2.018503658743004081e+00,9.709560195324196119e-01,1.673867677493547701e+00,1.105043148603412462e+00,9.701632566308125982e-01
1.516082698331961687e-01,9.749386221196607583e-01,3.129425095296780590e+00,9.733954334706123035e-01,2.017570709869284329e+00,9.696061763889308738e-01,1.672392948574116245e+00,1.104605947751612582e+00,9.687731770329730541e-01
1.587827110690794297e-01,9.737796417876770638e-01,3.128746878502856710e+00,9.721574262213625861e-01,2.016593649163649360e+00,9.681948178792373350e-01,1.670850200700754851e+00,1.104149379968749400e+00,9.673194338098489720e-01
1.662966628547748460e-01,9.725683763696602036e-01,3.128032555456445429e+00,9.708628525732421188e-01,2.015570496784827803e+00,9.667192589135745751e-01,1.669236378311564906e+00,1.103672691215748625e+00,9.657992193798707881e-01
1.741661915862071364e-01,9.713025918730739949e-01,3.127280136927602872e+00,9.695092291945743845e-01,2.014499063722361871e+00,9.651767087939857603e-01,1.667548592942976082e+00,1.103175253221506447e+00,9.642096131449930940e-01
