# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000021e-02,7.191875631463617857e-02,7.029999446013361908e-01,3.050408911338053919e-02,5.333359009031938269e-01,7.191875631460753482e-02,7.030039010446705872e-01,9.333788421635637178e+01,1.770339160217326846e-02
1.047370897959449751e-02,7.193215046723633321e-02,7.031421093293253044e-01,3.096950608818982431e-02,5.374274338050202271e-01,7.193215046710221827e-02,7.031412333168027828e-01,9.332877007865339181e+01,1.847249894442104523e-02
1.096985797892383561e-02,7.194617865744734608e-02,7.032909903046411504e-01,3.144586870927890132e-02,5.415862148983699997e-01,7.194617865726482542e-02,7.032903993041790258e-01,9.390572911443263138e+01,1.925322702175491507e-02
1.148951000187309161e-02,7.196087087965685747e-02,7.034468308911279166e-01,3.193334667694225359e-02,5.458123755938719679e-01,7.196087087949143424e-02,7.034489909002569208e-01,9.022996564981318102e+01,2.004472340016860699e-02
1.203377840777589310e-02,7.197625854335498730e-02,7.036100720298464894e-01,3.243211030369175241e-02,5.501065153120537898e-01,7.197625854320244265e-02,7.036099673398901189e-01,8.691815161481522978e+01,2.084617966536572720e-02
1.260382929679727468e-02,7.199237453037499179e-02,7.037811469133875564e-01,3.294233046670025367e-02,5.544682274059611338e-01,7.199237453025486566e-02,7.037817890657362963e-01,8.084491427987447310e+01,2.165683371246573952e-02
1.320088400831418048e-02,7.200925328948559745e-02,7.039603299311743001e-01,3.346417847325433570e-02,5.588980461905697084e-01,7.200925328937834990e-02,7.039619621529755733e-01,8.137507978165022848e+01,2.247597050733740609e-02
1.382622173764655633e-02,7.202693089502276713e-02,7.041478876332540882e-01,3.399782596098166465e-02,5.633959681415777743e-01,7.202693089490352918e-02,7.041489157664005960e-01,8.136429149460624899e+01,2.330292158437730077e-02
1.448118227674533715e-02,7.204544511275212670e-02,7.043443307136956211e-01,3.454344480662685513e-02,5.679623032487213230e-01,7.204544511255384087e-02,7.043452835445380700e-01,8.617322510333377750e+01,2.413706358325184986e-02
1.516716888470922599e-02,7.206483549537190392e-02,7.045501539691532145e-01,3.510120696443763677e-02,5.725969168126137099e-01,7.206483549515696474e-02,7.045495360293648757e-01,8.393173250638767513e+01,2.497781596719395036e-02
1.588565129428052766e-02,7.208514347374705977e-02,7.047658027230860878e-01,3.567128438148392533e-02,5.773000988657701615e-01,7.208514347356698160e-02,7.047645753028034532e-01,8.466292321088191386e+01,2.582463829022274560e-02
1.663816886076129042e-02,7.210641240950854680e-02,7.049914374185183297e-01,3.625384881539051030e-02,5.820714691641046823e-01,7.210641240950321773e-02,7.049886627521588789e-01,8.675011538727508764e+01,2.667702705729801949e-02
1.742633386009649968e-02,7.212868773309177861e-02,7.052279423603928787e-01,3.684907172501183936e-02,5.869118959764817456e-01,7.212868773287262059e-02,7.052275493612210067e-01,9.130784516012460017e+01,2.753451238571757997e-02
1.825183494319043351e-02,7.215201700561801879e-02,7.054755305134966514e-01,3.745712410766066647e-02,5.918210869308087041e-01,7.215201700549100927e-02,7.054772910780333639e-01,8.879477525736339771e+01,2.839665459815010617e-02
1.911644075385701691e-02,7.217645002595474146e-02,7.057348532893109594e-01,3.807817631503929157e-02,5.967992039940391846e-01,7.217645002578221280e-02,7.057335847077264024e-01,8.455182568484617889e+01,2.926304085572750679e-02
2.002200371815584384e-02,7.220203895400256755e-02,7.060066646702001236e-01,3.871239792009584235e-02,6.018455007263562306e-01,7.220203895392063309e-02,7.060056355553345764e-01,7.764440828413955842e+01,3.013328180036822790e-02
2.097046401323232959e-02,7.222883839781135684e-02,7.062910466128347053e-01,3.935995752099841205e-02,6.069615523855631523e-01,7.222883839771609971e-02,7.062922838228774536e-01,7.308213221406397508e+01,3.100700843793757766e-02
2.196385372416545870e-02,7.225690553631358704e-02,7.065891604783014479e-01,4.002102255393813479e-02,6.121461890822780250e-01,7.225690553621433310e-02,7.065901196664183814e-01,7.420034313345888677e+01,3.188386911708995797e-02
2.300430119772918156e-02,7.228630025032733997e-02,7.069014116277942961e-01,4.069575909380240830e-02,6.173999495535011928e-01,7.228630025018301097e-02,7.069021183201614766e-01,7.500414904363059065e+01,3.276352675847093998e-02
2.409403560239524456e-02,7.231708523278768119e-02,7.072281184000046572e-01,4.138433167389243827e-02,6.227224299785698580e-01,7.231708523262736499e-02,7.072284268786371841e-01,6.815087738091466463e+01,3.364565627721671781e-02
2.523539170434765944e-02,7.234932613160727222e-02,7.075706427933552423e-01,4.208690306209716958e-02,6.281140553730109044e-01,7.234932613158018277e-02,7.075728417564574046e-01,5.924908086841507782e+01,3.452994223085514847e-02
2.643081486974105734e-02,7.238309167940637501e-02,7.079292064086999403e-01,4.280363403899412056e-02,6.335746683449852146e-01,7.238309167931755717e-02,7.079271525828253475e-01,5.886786268596464566e+01,3.541607670424817833e-02
2.768286630392066683e-02,7.241845385175782468e-02,7.083049817026172423e-01,4.353468317681041810e-02,6.391040259917337707e-01,7.241845385169942695e-02,7.083044891249141717e-01,5.976274119701847098e+01,3.630375739686753089e-02
2.899422853882876669e-02,7.245548799357770520e-02,7.086983365303651805e-01,4.428020660367804062e-02,6.447019822755150065e-01,7.245548799342849122e-02,7.086981141761227176e-01,5.828932065566449694e+01,3.719268594213231971e-02
3.036771118035457365e-02,7.249427301385491518e-02,7.091104496323300532e-01,4.504035776492898435e-02,6.503690086209520382e-01,7.249427301380784172e-02,7.091103610652120803e-01,5.418820089723654121e+01,3.808256643301355382e-02
3.180625692794119413e-02,7.253489150559810916e-02,7.095418956244661235e-01,4.581528716202099005e-02,6.561044529010650050e-01,7.253489150553527054e-02,7.095417332780675768e-01,5.525503072774850466e+01,3.897310414458587946e-02
3.331294787934673679e-02,7.257742996051597117e-02,7.099937771256725760e-01,4.660514211847566202e-02,6.619085153466284233e-01,7.257742996048888173e-02,7.099946468053950355e-01,5.060210480987120718e+01,3.986400444296700485e-02
3.489101213406773511e-02,7.262197892411470512e-02,7.104672521201237378e-01,4.741006647765511062e-02,6.677808994781873064e-01,7.262197892405963806e-02,7.104669357378192718e-01,4.169541747800289500e+01,4.075497189479038163e-02
3.654383070957256674e-02,7.266863318600558230e-02,7.109630595172719003e-01,4.823020036281522316e-02,6.737217339292780327e-01,7.266863318598071331e-02,7.109623232617969801e-01,3.861768194404869803e+01,4.164570958246005539e-02
3.827494478516311333e-02,7.271749200087795906e-02,7.114824006326934125e-01,4.906567988168264449e-02,6.797304788630986749e-01,7.271749200085819709e-02,7.114831492327684526e-01,3.444119340759657177e+01,4.253591846219040296e-02
4.008806328898464888e-02,7.276865926111231175e-02,7.120264825295963274e-01,4.991663684033120774e-02,6.858075293003075279e-01,7.276865926107989324e-02,7.120252949659933162e-01,3.623935960645941634e+01,4.342529707079467727e-02
4.198707084443910331e-02,7.282224374153489777e-02,7.125961103483658965e-01,5.078319846281798000e-02,6.919519605047714794e-01,7.282224374149959267e-02,7.125950578602491259e-01,3.534168852917274961e+01,4.431354124695663366e-02
4.397603609302721400e-02,7.287835929765273946e-02,7.131928761671382233e-01,5.166548705676698994e-02,6.981639374175736545e-01,7.287835929761765641e-02,7.131935597074017252e-01,3.481036596099730218e+01,4.520034406506956426e-02
