# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000021e-02,7.191875631365918231e-02,7.029999413739651537e-01,3.050408911662860767e-02,5.333358866677377907e-01,2.954043511329618177e-02,2.871127333068909659e-02,5.577431769777869974e-02,1.770339160448020088e-02
1.047370897959449751e-02,7.193215046747547525e-02,7.031421019094006297e-01,3.096950608848114683e-02,5.374273161678453370e-01,2.996865233967227482e-02,2.982244714081094816e-02,5.755404815199578750e-02,1.847249894130154058e-02
1.096985797892383561e-02,7.194617865710339899e-02,7.032909996544598474e-01,3.144586870837096093e-02,5.415862785236902344e-01,3.040609064113164450e-02,3.098548681635747773e-02,5.940603033663326843e-02,1.925322702245246820e-02
1.148951000187309161e-02,7.196087088113989338e-02,7.034468391945687404e-01,3.193334667436764640e-02,5.458125315187944970e-01,3.085283659187765259e-02,3.220294454811583468e-02,6.133353069911064159e-02,2.004472340448304468e-02
1.203377840777589310e-02,7.197625854011757696e-02,7.036100635559501271e-01,3.243211030441850440e-02,5.501065254051400455e-01,3.130897321509351627e-02,3.347742081485383103e-02,6.333971275927258171e-02,2.084617963596246959e-02
1.260382929679727468e-02,7.199237452868634257e-02,7.037812055715557680e-01,3.294233046595840264e-02,5.544683441740446694e-01,3.177457967292829366e-02,3.481174586473706478e-02,6.542819046241774017e-02,2.165683371396853740e-02
1.320088400831418048e-02,7.200925329072482839e-02,7.039603214522964780e-01,3.346417847011462499e-02,5.588981571757352107e-01,3.224973093758487508e-02,3.620880552205897607e-02,6.760258131706220475e-02,2.247597050324079415e-02
1.382622173764655633e-02,7.202693089570999518e-02,7.041478119814570391e-01,3.399782596176526006e-02,5.633959716958656383e-01,3.273449744378509330e-02,3.767168762915262120e-02,6.986674135817760867e-02,2.330292158665492330e-02
1.448118227674533715e-02,7.204544511112920269e-02,7.043443894213030632e-01,3.454344480444060395e-02,5.679622795297600835e-01,3.322894472124748866e-02,3.920359915581787813e-02,7.222465671219754912e-02,2.413706358086065151e-02
1.516716888470922599e-02,7.206483549647613174e-02,7.045501286804525254e-01,3.510120696679797092e-02,5.725968929001041818e-01,3.373313300495439648e-02,4.080796909009591633e-02,7.468071018039400266e-02,2.497781596685144656e-02
1.588565129428052766e-02,7.208514347064043370e-02,7.047656765782479571e-01,3.567128437768984917e-02,5.773000756241588594e-01,3.424711682805092750e-02,4.248832803346400122e-02,7.723929223229394903e-02,2.582463829194037164e-02
1.663816886076129042e-02,7.210641240886950243e-02,7.049914457427914893e-01,3.625384881417503813e-02,5.820715497986223008e-01,3.477094458674212518e-02,4.424840878450051612e-02,7.990509146934153539e-02,2.667702705778363104e-02
1.742633386009649968e-02,7.212868773062486305e-02,7.052277824916466376e-01,3.684907172748141946e-02,5.869120055004191094e-01,3.530465808656790827e-02,4.609218018116297000e-02,8.268313637268517868e-02,2.753451236267190350e-02
1.825183494319043351e-02,7.215201700334272772e-02,7.054754378916251456e-01,3.745712410390655833e-02,5.918209697206976427e-01,3.584829206406436874e-02,4.802376332539751158e-02,8.557867547710272527e-02,2.839665459847295903e-02
1.911644075385701691e-02,7.217645002492956152e-02,7.057349626200055681e-01,3.807817631587573359e-02,5.967989961199955395e-01,3.640187368176550642e-02,5.004749742495601811e-02,8.859719823700251684e-02,2.926304085426367774e-02
2.002200371815584384e-02,7.220203895411536621e-02,7.060065635556136421e-01,3.871239792024949722e-02,6.018456383853794112e-01,3.696542199959385044e-02,5.216793067581936699e-02,9.174447038305766355e-02,3.013328180062480044e-02
2.097046401323232959e-02,7.222883839695093400e-02,7.062910128418105060e-01,3.935995752410015314e-02,6.069616912147715038e-01,3.753894742068619728e-02,5.438988069913014423e-02,9.502673927389448938e-02,3.100700843464010426e-02
2.196385372416545870e-02,7.225690553796071391e-02,7.065891266930229841e-01,4.002102255271000608e-02,6.121461819036633223e-01,3.812245110911116619e-02,5.671837144287336652e-02,9.845040074076852332e-02,3.188386911885121577e-02
2.300430119772918156e-02,7.228630024816684596e-02,7.069011417696028365e-01,4.069575907532629877e-02,6.173998532355119417e-01,3.871592437795712272e-02,5.915870984825308265e-02,1.020223089127061944e-01,3.276352675870741749e-02
2.409403560239524456e-02,7.231708523079705131e-02,7.072281309799708371e-01,4.138433167620414466e-02,6.227225106566273150e-01,3.931934805976466940e-02,6.171640971381496532e-02,1.057496168808660097e-01,3.364565627844340323e-02
2.523539170434765944e-02,7.234932613128197687e-02,7.075706511599216819e-01,4.208690306175677520e-02,6.281141140919909160e-01,3.993269182296921294e-02,6.439737576403953279e-02,1.096401186716634835e-01,3.452994223206218294e-02
2.643081486974105734e-02,7.238309167892476026e-02,7.079293498747392110e-01,4.280363403691134216e-02,6.335746056790987346e-01,4.055591349190379447e-02,6.720770916945954798e-02,1.137017352709305540e-01,3.541607670657997975e-02
2.768286630392066683e-02,7.241845384965484023e-02,7.083048559605437111e-01,4.353468317370023932e-02,6.391038321305183567e-01,4.118895831135738206e-02,7.015382686219215347e-02,1.179430836187569387e-01,3.630375739447699868e-02
2.899422853882876669e-02,7.245548799509449189e-02,7.086981769063317449e-01,4.428020660511644557e-02,6.447020658157918138e-01,4.183175819075035662e-02,7.324255159097881052e-02,1.223732241503514562e-01,3.719268594316593735e-02
3.036771118035457365e-02,7.249427301024180537e-02,7.091104167880321052e-01,4.504035776158299420e-02,6.503688230658659641e-01,4.248423091371011928e-02,7.648089987091175046e-02,1.270016248726869579e-01,3.808256643470997460e-02
3.180625692794119413e-02,7.253489150424408116e-02,7.095418627601847161e-01,4.581528716363725273e-02,6.561045191871128779e-01,4.314627932144499134e-02,7.987641226170061337e-02,1.318385784234010205e-01,3.897310414388144295e-02
3.331294787934673679e-02,7.257742996044647121e-02,7.099938289322238472e-01,4.660514211916821914e-02,6.619085662983252849e-01,4.381779045789424565e-02,8.343685239948041288e-02,1.368947317091976923e-01,3.986400444406956733e-02
3.489101213406773511e-02,7.262197892173682945e-02,7.104673081987623595e-01,4.741006647511736283e-02,6.677810633186660461e-01,4.449863468903880737e-02,8.717046489070043314e-02,1.421815903516345514e-01,4.075497189318499913e-02
3.654383070957256674e-02,7.266863318981364728e-02,7.109632174101250257e-01,4.823020036113345732e-02,6.737218587131408309e-01,4.518866478859262514e-02,9.108583841170814210e-02,1.477111582644201615e-01,4.164570958296232028e-02
3.827494478516311333e-02,7.271749199972932232e-02,7.114825246899705302e-01,4.906567987994869817e-02,6.797306691402819068e-01,4.588771499519128660e-02,9.519195639921967933e-02,1.534963684560695096e-01,4.253591846128002008e-02
4.008806328898464888e-02,7.276865926162989773e-02,7.120264367915923875e-01,4.991663684166192105e-02,6.858074593870597813e-01,4.659560004047236248e-02,9.949827356544535539e-02,1.595508805132431485e-01,4.342529707138309547e-02
4.198707084443910331e-02,7.282224373973389397e-02,7.125960645737710042e-01,5.078319845875745031e-02,6.919519648686662805e-01,4.731211414485581024e-02,1.040147681151451092e-01,1.658892865773946568e-01,4.431354124576358799e-02
4.397603609302721400e-02,7.287835929752484176e-02,7.131928314178396233e-01,5.166548705704121502e-02,6.981640761803525885e-01,4.803702999769643434e-02,1.087517830090828780e-01,1.725270141942140123e-01,4.520034406425210705e-02
4.605922041145105866e-02,7.293712513236982886e-02,7.138176233401243298e-01,5.256361976100021316e-02,7.044433115646901999e-01,4.877009770397955357e-02,1.137201706985962180e-01,1.794807032797338109e-01,4.608539589578686257e-02
4.824108704165368938e-02,7.299866601885840467e-02,7.144723214545857237e-01,5.347770818222841172e-02,7.107894522853394070e-01,4.951104371550218985e-02,1.189313038065560324e-01,1.867677369741866378e-01,4.696838462672292547e-02
5.052631065335679711e-02,7.306311257032538364e-02,7.151577762466773125e-01,5.440785810927040167e-02,7.172024256346729576e-01,5.025956974844869585e-02,1.243969555593689436e-01,1.944069727636899558e-01,4.784899598476188842e-02
5.291978735958442065e-02,7.313060150357619804e-02,7.158759898442763614e-01,5.535416918771773886e-02,7.236818918940112200e-01,5.101535168843196466e-02,1.301296502718807813e-01,2.024184085263284749e-01,4.872691404180551356e-02
5.542664520663106997e-02,7.320127592349390255e-02,7.166279333215608283e-01,5.631673458370478613e-02,7.302271370011976792e-01,5.177803849040873985e-02,1.361422502271939505e-01,2.108234452627119060e-01,4.960182183596395511e-02
5.805225516094898730e-02,7.327528561062979229e-02,7.174156649937435404e-01,5.729564066086134666e-02,7.368383146669554851e-01,5.254725108466562489e-02,1.424482594148579473e-01,2.196449231923374712e-01,5.047340205635986177e-02
6.080224261649423700e-02,7.335278734285388680e-02,7.182406400330882956e-01,5.829096666006305938e-02,7.435147849582939283e-01,5.332258129504507949e-02,1.490617419291289658e-01,2.289073697393898821e-01,5.134133798068285515e-02
6.368249944718586131e-02,7.343394519594204084e-02,7.191047375990966550e-01,5.930278434337954430e-02,7.502559380515813059e-01,5.410359078473248040e-02,1.559972597664929794e-01,2.386368657558229356e-01,5.220531441279474549e-02
6.669919663030121626e-02,7.351893089794292457e-02,7.200099205116510248e-01,6.033115767079477720e-02,7.570614889135579562e-01,5.488981003713977458e-02,1.632699494096743753e-01,2.488615709853868596e-01,5.306501881893765926e-02
6.985879746785249311e-02,7.360792416752470757e-02,7.209576515553750564e-01,6.137614246401024154e-02,7.639313090075253720e-01,5.568073739848466985e-02,1.708955689606974082e-01,2.596116020444566019e-01,5.392014253644072941e-02
7.316807143427195292e-02,7.370111308078519663e-02,7.219504766699667009e-01,6.243778606076610949e-02,7.708644324364839484e-01,5.647583819160773011e-02,1.788903582093136491e-01,2.709192621238454834e-01,5.477038214266538585e-02
7.663410868007458632e-02,7.379869445100051273e-02,7.229902384799142823e-01,6.351612697361330717e-02,7.778604417572494434e-01,5.727454393587372294e-02,1.872710524838487323e-01,2.828193071796530900e-01,5.561544083578995323e-02
8.026433522257174491e-02,7.390087422606694822e-02,7.240792825133958166e-01,6.461119456429087471e-02,7.849190336637624776e-01,5.807625169346408711e-02,1.960549363075702600e-01,2.953490937462972532e-01,5.645503005056617951e-02
8.406652885618325077e-02,7.400786791814684129e-02,7.252199774260857934e-01,6.572300873545211530e-02,7.920392399760843860e-01,5.888032358250394616e-02,2.052596967455339039e-01,3.085488971853702078e-01,5.728887109250613285e-02
8.804883581643464796e-02,7.411990100429655115e-02,7.264145951631542086e-01,6.685157951081399652e-02,7.992207295735143102e-01,5.968608650163398366e-02,2.149033857635614386e-01,3.224619123256985409e-01,5.811669686754239450e-02
9.221978823334327224e-02,7.423720941389921890e-02,7.276659285013665768e-01,6.799690680390058084e-02,8.064627555196779429e-01,6.049283210000622191e-02,2.250044823136935490e-01,3.371350656450748939e-01,5.893825372639849292e-02
9.658832241158703258e-02,7.436003997296025680e-02,7.289763832229800844e-01,6.915898004222897910e-02,8.137645320472546295e-01,6.129981707252296630e-02,2.355815475179224849e-01,3.526185654111689272e-01,5.975330339611373276e-02
1.011637979766207007e-01,7.448865091291545504e-02,7.303490578450145820e-01,7.033777787085648825e-02,8.211252331457092879e-01,6.210626383361539382e-02,2.466531583794653870e-01,3.689668805587314471e-01,6.056162495471084650e-02
1.059560179277615893e-01,7.462331236490138409e-02,7.317867405324568475e-01,7.153326781629121278e-02,8.285446943685310650e-01,6.291136165715394135e-02,2.582381338161582329e-01,3.862389444348054424e-01,6.136301690494860850e-02
1.109752496412072104e-01,7.476430691155067088e-02,7.332925206404874441e-01,7.274540602296752922e-02,8.360213809434048349e-01,6.371426838019123018e-02,2.703547170874913697e-01,4.044981151906758554e-01,6.215729929617641591e-02
1.162322468679852366e-01,7.491193012362762360e-02,7.348696601928881300e-01,7.397413691144816283e-02,8.435548416058701315e-01,6.451411278042540332e-02,2.830209664422779769e-01,4.238134486059340622e-01,6.294431589309201769e-02
1.217382727739661358e-01,7.506649115925023708e-02,7.365212869267439011e-01,7.521939294868262849e-02,8.511443724384464282e-01,6.530999776328183515e-02,2.962537616770127280e-01,4.442590884244155824e-01,6.372393640130358250e-02
1.275051240713013512e-01,7.522831334997093222e-02,7.382515640299390780e-01,7.648109433199112850e-02,8.587887789817398865e-01,6.610100450285205653e-02,3.100691022420251630e-01,4.659154270153034183e-01,6.449605872381414251e-02
1.335451562929898806e-01,7.539773482781808589e-02,7.400635472797068015e-01,7.775914871724909361e-02,8.664873948012156157e-01,6.688619773235404686e-02,3.244813862238462576e-01,4.888696688914795363e-01,6.526061122690129945e-02
1.398713102647238526e-01,7.557510918766907615e-02,7.419613376216258605e-01,7.905345102880390051e-02,8.742389182911950440e-01,6.766463236036468487e-02,3.395028407692478600e-01,5.132155886034419634e-01,6.601755503389084012e-02
1.464971398307285677e-01,7.576080616453517713e-02,7.439491021704529583e-01,8.036388318543963294e-02,8.820424726492192002e-01,6.843536165867236676e-02,3.551429066389213962e-01,5.390546636440126660e-01,6.676688637581174035e-02
1.534368408930012473e-01,7.595521233830826446e-02,7.460310431456467217e-01,8.169031388557446149e-02,8.898971018386503395e-01,6.919744728190591054e-02,3.714075033495157774e-01,5.664959845628596558e-01,6.750863879510804466e-02
1.607052818261639204e-01,7.615873185251631483e-02,7.482115005954412812e-01,8.303259841560173271e-02,8.978016466926110883e-01,6.994997134673042183e-02,3.882983328970786019e-01,5.956570463264014847e-01,6.824288553324819873e-02
1.683180353330956669e-01,7.637178721615067722e-02,7.504955238178051546e-01,8.439057849046638360e-02,9.057551292519103736e-01,7.069205094096342457e-02,4.058112359271729419e-01,6.266628049106682807e-01,6.896974175890646652e-02
1.762914118095947891e-01,7.659482004171058733e-02,7.528873925296242220e-01,8.576408202398533298e-02,9.137558596432344693e-01,7.142285518522495380e-02,4.239355640349256049e-01,6.596468271130978556e-01,6.968936684611426458e-02
1.846424942895543431e-01,7.682829192053586276e-02,7.553926686654193201e-01,8.715292305922628380e-02,9.218033182306396567e-01,7.214162531236412157e-02,4.426526695942005762e-01,6.947499265125562928e-01,7.040196658737252200e-02
1.933891750455231096e-01,7.707268523687438311e-02,7.580168089200023385e-01,8.855690160735463223e-02,9.298960645135267988e-01,7.284769769675891737e-02,4.619335903664272824e-01,7.321189760121309398e-01,7.110779541405809479e-02
2.025501939230667514e-01,7.732850408137936782e-02,7.607651231334553454e-01,8.997580359247314696e-02,9.380324702918603208e-01,7.354053006843663809e-02,4.817387247487157076e-01,7.719059552548892533e-01,7.180715855551988991e-02
2.121451784910629856e-01,7.759627514798084214e-02,7.636435264862733163e-01,9.140940069198855156e-02,9.462114342236063180e-01,7.421973052717101282e-02,5.020144418979890499e-01,8.142641744069828436e-01,7.250041419615438354e-02
2.221946860939523760e-01,7.787654870575089205e-02,7.666583371953201720e-01,9.285745041484894102e-02,9.544317867324736415e-01,7.488508906307322910e-02,5.226926054056336701e-01,8.593454227123236144e-01,7.318797558358136612e-02
2.327202478960408438e-01,7.816989955440978299e-02,7.698161533386954636e-01,9.431969593322353518e-02,9.626919757651779541e-01,7.553661033965863858e-02,5.436886249940779958e-01,9.072942279504045970e-01,7.387031313573833025e-02
2.437444150122220488e-01,7.847692808124606678e-02,7.731233478355333810e-01,9.579586620399282992e-02,9.709903085046586169e-01,7.617454639922183190e-02,5.649006604859199143e-01,9.582421183576447232e-01,7.454795652662904448e-02
2.552908068239517769e-01,7.879826130044609300e-02,7.765871820227077116e-01,9.728567597614112827e-02,9.793254121506879128e-01,7.679942685196694541e-02,5.862099715483901630e-01,1.012299493826957386e+00,7.522149676974243526e-02
2.673841615839946395e-01,7.913455391417967277e-02,7.802152735236589365e-01,9.878882577003578191e-02,9.876959584551157079e-01,7.741208365742724418e-02,6.074822084240040221e-01,1.069548271075215107e+00,7.589158831945064243e-02
2.800503894183630771e-01,7.948648949654568696e-02,7.840150690378022702e-01,1.003050020656033325e-01,9.961004006239104758e-01,7.801366703251888524e-02,6.285713108381639769e-01,1.130034777896172571e+00,7.655895120593469994e-02
2.933166278390043624e-01,7.985478161354397919e-02,7.879949630313843878e-01,1.018338774053080265e-01,1.004537134565238743e+00,7.860564895119948048e-02,6.493246117911135595e-01,1.193764334833612217e+00,7.722437316620167636e-02
3.072112998861757371e-01,8.024017502609348540e-02,7.921633591788963535e-01,1.033751104599294202e-01,1.013004017086437614e+00,7.918981140376812888e-02,6.695911504634832756e-01,1.260702632200683126e+00,7.788871192562341061e-02
3.217641750250737065e-01,8.064344694412417525e-02,7.965293295034436838e-01,1.049283463195069821e-01,1.021499972059011885e+00,7.976821824457935861e-02,6.892301955030595284e-01,1.330779977990772744e+00,7.855289749590155246e-02
3.370064329271928449e-01,8.106540827413999395e-02,8.011019166335757724e-01,1.064932166216017162e-01,1.030023272672495160e+00,8.034317174168648101e-02,7.081202604355434360e-01,1.403906218502163350e+00,7.921793460654980024e-02
3.529707302730650254e-01,8.150690495112300482e-02,8.058912614064681623e-01,1.080693398442262865e-01,1.038571627917193485e+00,8.091715785651509840e-02,7.261677221841573715e-01,1.479992863004858883e+00,7.988490527551705966e-02
3.696912707195028069e-01,8.196881925683241477e-02,8.109074839565002524e-01,1.096563215428478788e-01,1.047143954638205532e+00,8.149278625046196822e-02,7.433121776259459246e-01,1.558978375614335388e+00,8.055497152401636107e-02
3.872038781812555119e-01,8.245207122795128463e-02,8.161612041405480467e-01,1.112537547001670735e-01,1.055738107205487442e+00,8.207273217711197333e-02,7.595273893519309816e-01,1.640859119763804053e+00,8.122937826875442635e-02
4.055460735840829556e-01,8.295762002626050347e-02,8.216638371211077985e-01,1.128612199959722062e-01,1.064351881025958679e+00,8.265968636661202851e-02,7.748198066288831676e-01,1.725715937883505413e+00,8.190945642435454310e-02
4.247571552536898443e-01,8.348646542616022792e-02,8.274272173860228730e-01,1.144782862366420240e-01,1.072984147038149594e+00,8.325631724120707844e-02,7.892244879305869709e-01,1.813742079448306121e+00,8.259662616765639509e-02
4.448782831127585102e-01,8.403964926188223217e-02,8.334634078630629439e-01,1.161045107200486814e-01,1.081632557381647874e+00,8.386524675157414066e-02,8.027980123702969095e-01,1.905269604610613676e+00,8.329240044221652983e-02
4.659525668664681874e-01,8.461825695478375486e-02,8.397858925952175202e-01,1.177394396823157052e-01,1.090295240233557728e+00,8.448903903649940261e-02,8.156131202700052096e-01,2.000792977025598329e+00,8.399838863208564099e-02
4.880251583654431347e-01,8.522341903017194298e-02,8.464074917317356839e-01,1.193826087260059232e-01,1.098970015434041159e+00,8.513019925820830558e-02,8.277524667042304163e-01,2.100998094767401625e+00,8.471630038689637043e-02
5.111433483440167569e-01,8.585631269559468315e-02,8.533431181336197380e-01,1.210335433690590268e-01,1.107655475381322141e+00,8.579117942326530688e-02,8.393047274131705260e-01,2.206809831186767212e+00,8.544794952181078429e-02
5.353566677410723784e-01,8.651816340554319140e-02,8.606069846121693345e-01,1.226917594569776337e-01,1.116349193132760487e+00,8.647438780660832158e-02,8.503611179447774227e-01,2.319446722360690494e+00,8.619525790878046489e-02
5.607169938205458504e-01,8.721024648425834691e-02,8.682150212017920587e-01,1.243567638208045167e-01,1.125049158960930828e+00,8.718219908125779405e-02,8.610145249647522814e-01,2.440516876535746782e+00,8.696025919265593096e-02
5.872786613189482363e-01,8.793388872879148721e-02,8.761835671319899710e-01,1.260280547457997002e-01,1.133753451350879349e+00,8.791696253642111714e-02,8.713586868359201043e-01,2.572159490146765926e+00,8.774510204119323475e-02
6.150985788580500824e-01,8.869047005839281184e-02,8.845296828952398105e-01,1.277051226426884067e-01,1.142459923027623336e+00,8.868100630593067635e-02,8.814894130098825942e-01,2.717267603243823881e+00,8.855205269978894123e-02
6.442363508721373755e-01,8.948142513402990161e-02,8.932709214174492374e-01,1.293874506029848437e-01,1.151166671059643098e+00,8.947663573392317105e-02,8.915049924776643486e-01,2.879843754228230246e+00,8.938349625576935686e-02
6.747544053110693385e-01,9.030824501320067199e-02,9.024262260914225342e-01,1.310745150519121438e-01,1.159871436637549991e+00,9.030612463093667941e-02,9.015082200775901278e-01,3.065594008653182101e+00,9.024193601915531104e-02
7.067181273927490848e-01,9.117247879593559645e-02,9.120155462746026842e-01,1.327657864448397174e-01,1.168572063497753000e+00,9.117247879593359805e-02,9.120154948735663680e-01,7.769362199168496907e+00,9.112999010605571382e-02
7.401959996915644657e-01,9.207573522023260182e-02,9.220588177461936930e-01,1.344607298622753078e-01,1.177266701549875449e+00,9.207573522023193568e-02,9.220590547133740156e-01,8.078818008139251106e+00,9.205038392702313832e-02
7.752597488629460187e-01,9.301968432201057624e-02,9.325779975903822905e-01,1.361588057976677035e-01,1.185952979563037690e+00,9.301968432200946602e-02,9.325778774522154313e-01,8.033511825723669730e+00,9.300593709295790212e-02
8.119844993184013315e-01,9.400605895387315059e-02,9.435954419288210548e-01,1.378594707595315327e-01,1.194628819612468806e+00,9.400605895387181832e-02,9.435954494793757918e-01,7.944077385168938576e+00,9.399954247470621027e-02
8.504489341802676794e-01,9.503665641652991880e-02,9.551347466598432145e-01,1.395621780856339811e-01,1.203292124479782066e+00,9.503665641652814244e-02,9.551346621000637027e-01,8.202110695755651548e+00,9.503413491411172309e-02
8.907354638610439634e-01,9.611333989090198315e-02,9.672205762789045647e-01,1.412663785989949350e-01,1.211940691208043930e+00,9.611333989090020680e-02,9.672205373535950335e-01,7.652131234705652929e+00,9.611264647325812316e-02
9.329304026284686024e-01,9.723803992326929269e-02,9.798790701702126960e-01,1.429715213850226707e-01,1.220572663178666861e+00,9.723803992326773837e-02,9.798790780711222892e-01,7.796687927420300035e+00,9.723794512312755600e-02
9.771241535346496532e-01,9.841275580841402082e-02,9.931373211887970509e-01,1.446770545090356741e-01,1.229185599459363232e+00,9.841275580841224446e-02,9.931372447796052993e-01,7.476761823973508747e+00,9.841275457803866367e-02
1.023411402105452783e+00,9.963955688288606005e-02,1.007023441646552664e+00,1.463824257898771464e-01,1.237777819012224612e+00,9.963955688288539392e-02,1.007023471353837962e+00,7.069523798936725889e+00,9.963955558998471851e-02
1.071891319205127591e+00,1.009205837372793013e-01,1.021567422499426225e+00,1.480870835023619936e-01,1.246346498735376063e+00,1.009205837372730841e-01,1.021567326008148591e+00,6.553741500663748276e+00,1.009204742401746957e-01
1.122667773510813483e+00,1.022580493238418597e-01,1.036800411950364431e+00,1.497904771856821693e-01,1.254890201751704737e+00,1.022580491489204491e-01,1.036799998462257344e+00,5.094617866995418076e+00,1.022571699198158157e-01
1.175849554052156964e+00,1.036542399221114241e-01,1.052754931225702961e+00,1.514920583371937024e-01,1.263406526710737499e+00,1.036542208290118783e-01,1.052741505501604502e+00,4.343563013723169774e+00,1.036507410928585449e-01
1.231550603292826063e+00,1.051115159729776316e-01,1.069465223348369909e+00,1.531912811473301606e-01,1.271893480543366373e+00,1.051112187357812200e-01,1.069332620219645369e+00,3.865362302735438238e+00,1.051016648686466937e-01
1.289890261253308079e+00,1.066323127562980311e-01,1.086966868556028754e+00,1.548876032817683157e-01,1.280349399485600337e+00,1.066304469743388772e-01,1.086376962021214698e+00,3.526895201264870217e+00,1.066097769310505594e-01
1.350993521198026404e+00,1.082191408738060190e-01,1.105297990161040023e+00,1.565804865504669685e-01,1.288771528602778549e+00,1.082120370998373993e-01,1.103589281245863418e+00,3.269837756480440838e+00,1.081742877047272566e-01
1.414991297434575968e+00,1.098745865305787994e-01,1.124497297700624010e+00,1.582693976344844433e-01,1.297158337530200489e+00,1.098546784814191657e-01,1.120672890234822194e+00,3.064483990517002709e+00,1.097938243887450760e-01
1.482020705798858584e+00,1.116013116131433502e-01,1.144606138773615056e+00,1.599538088064982322e-01,1.305507783766994834e+00,1.115557617962479320e-01,1.137359137318969537e+00,2.894167393876728500e+00,1.114664876486686218e-01
